title;abstract;publication_year;authors;doi;content_type;issn;isbn
Big data analytics on high Velocity streams: A case study;"Big data management is often characterized by three Vs: Volume, Velocity and Variety. While traditional batch-oriented systems such as MapReduce are able to scale-out and process very large volumes of data in parallel, they also introduce some significant latency. In this paper, we focus on the second V (Velocity) of the Big Data triad; We present a case-study where we use a popular open-source stream processing engine (Storm) to perform real-time integration and trend detection on Twitter and Bitly streams. We describe our trend detection solution below and experimentally demonstrate that our architecture can effectively process data in real-time - even for high-velocity streams.";2013;Thibaud Chardonnens;10.1109/BigData.2013.6691653;Conferences;;978-1-4799-1293-3
Visualization and rhetoric: Key concerns for utilizing big data in humanities research: A case study of vaccination discourses: 1918-1919;Visualization of data mining results is the linchpin of successful research in the humanities that uses computational techniques. This paper describes efforts to utilize “big data” in a case study of news reporting on vaccination before, during, and after the 1918 influenza pandemic, focusing primarily on the conventions underlying methods of data extraction, data visualization practices, and the rhetorical impact of visualization design choices on researchers' observations and interpretive decisions. Purposeful attention to visualization and the methodological conventions that are embedded in particular visualization practices will allow humanists to have more confidence in their interpretations of big data, a key element in the acceptance of data mining as a valuable method for humanities research.;2013;Kathleen Kerr;10.1109/BigData.2013.6691666;Conferences;;978-1-4799-1293-3
Humanities ‘big data’: Myths, challenges, and lessons;This paper argues that there have always been `big data' in the humanities, and challenges commonly held myths in this regard. It does so by discussing the case of transnational research on dispersed communities. Concluding, it examines the lessons humanities and sciences can learn from each other.;2013;Amalia S. Levi;10.1109/BigData.2013.6691667;Conferences;;978-1-4799-1293-3
Bibliographic records as humanities big data;Most discussion hitherto of big data in the humanities has assumed that it is characterized by its heterogeneous nature. This paper examines the extent to which bibliographic records generated by libraries represent a more homogenous form of humanities big data, more closely related to the observational big data generated by scientific data. It is suggested from an examination of the British Library catalogue that, while superficially bibliographic records appear to be created according to consistent standards and form a more homogenous dataset, close examination reveals that bibliographical records often go through a marked process of historical development. However, the critical methods require to disaggregate such data are perhaps analogous to those used in some scientific disciplines.;2013;Andrew Prescott;10.1109/BigData.2013.6691670;Conferences;;978-1-4799-1293-3
A concept of Generic Workspace for Big Data Processing in Humanities;Big Data challenges often require application of new data processing paradigms (like MapReduce), and corresponding software solutions (e. g. Hadoop). This trend causes a pressure on both cyber-infrastructure providers (to quickly integrate new services) and infrastructure users (to quickly learn to use new tools). In this paper we present the concept of DARIAH Generic Workspace for Big Data Processing in eHumanities which alleviates the aforementioned problems. It establishes a common integration layer, thus enables a quick integration of new services, and by providing unified interfaces, allows the users to start using new tools without learning their internal details. We describe the overall architecture and implementation details of the working prototype. The presented concept is generic enough to be applied in other emerging cyber-infrastructures for humanities.;2013;Jedrzej Rybicki;10.1109/BigData.2013.6691672;Conferences;;978-1-4799-1293-3
A case study on entity Resolution for Distant Processing of big Humanities data;At the forefront of big data in the Humanities, collections management can directly impact collections access and reuse. However, curators using traditional data management methods for tasks such as identifying redundant from relevant and related records, a small increase in data volume can significantly increase their workload. In this paper, we present preliminary work aimed at assisting curators in making important data management decisions for organizing and improving the overall quality of large unstructured Humanities data collections. Using Entity Resolution as a conceptual framework, we created a similarity model that compares directories and files based on their implicit metadata, and clusters pairs of closely related directories. Useful relationships between data are identified and presented through a graphical user interface that allows qualitative evaluation of the clusters and provides a guide to decide on data management actions. To evaluate the model's performance, we experimented with a test collection and asked the curator to classify the clusters according to four model cluster configurations that consider the presence of related and duplicate information. Evaluation results suggest that the model is useful for making data management action decisions.;2013;Weijia Xu;10.1109/BigData.2013.6691678;Conferences;;978-1-4799-1293-3
Business model canvas perspective on big data applications;Large and complex data that becomes difficult to be handled by traditional data processing applications triggers the development of big data applications which have become more pervasive than ever before. In the era of big data, data exploration and analysis turned into a difficult problem in many sectors such as the smart routing and health care sectors. Companies which can adapt their businesses well to leverage big data have significant advantages over those that lag this capability. The need for exploring new approaches to address the challenges of big data forces companies to shape their business models accordingly. In this paper, we summarize and share our findings regarding the business models deployed in big data applications in different sectors. We analyze existing big data applications by taking into consideration the core elements of a business (via business model canvas) and present how these applications provide value to their customers by making profit out of using big data.;2013;F. Canan Pembe Muhtaroğlu;10.1109/BigData.2013.6691684;Conferences;;978-1-4799-1293-3
Understanding the value of (big) data;This paper acts as a primer on an economic outlook at the value and pricing of big data. We introduce a simple taxonomy, discuss rights to access and analyze the case of big data as a common pool resource.;2013;Koutroumpis Pantelis;10.1109/BigData.2013.6691691;Conferences;;978-1-4799-1293-3
Memory system characterization of big data workloads;Two recent trends that have emerged include (1) Rapid growth in big data technologies with new types of computing models to handle unstructured data, such as map-reduce and noSQL (2) A growing focus on the memory subsystem for performance and power optimizations, particularly with emerging memory technologies offering different characteristics from conventional DRAM (bandwidths, read/write asymmetries). This paper examines how these trends may intersect by characterizing the memory access patterns of various Hadoop and noSQL big data workloads. Using memory DIMM traces collected using special hardware, we analyze the spatial and temporal reference patterns to bring out several insights related to memory and platform usages, such as memory footprints, read-write ratios, bandwidths, latencies, etc. We develop an analysis methodology to understand how conventional optimizations such as caching, prediction, and prefetching may apply to these workloads, and discuss the implications on software and system design.;2013;Martin Dimitrov;10.1109/BigData.2013.6691693;Conferences;;978-1-4799-1293-3
An ensemble MIC-based approach for performance diagnosis in big data platform;The era of big data has began. Although applications based on big data bring considerable benefit to IT industries, governments and social organizations, they bring more challenges to the management of big data platforms which are the fundamental infrastructures due to the complexity, variety, velocity and volume of big data. To offer a healthy platform for big data applications, we propose a novel signature-based performance diagnosis approach employing MIC invariants between performance metrics. We formalize the performance diagnosis as a pattern recognition problem. The normal state of a big data application is used to train a set of MIC (Maximum Information Criterion) invariants. One performance problem occurred in the big data application is identified by a unique binary tuple consisted by a set violations of MIC invariants. All the signatures of performance problems form a diagnosis knowledge database. If the KPI (Key Performance Indicator) of the big data application deviates its normal region, our approach can identify the real culprits through looking for similar signatures in the signature database. To detect the deviation of the KPI, we propose a new metric named unpredictability based on ARIMA model. And considering the variety of big data applications, we build an ensemble performance diagnosis approach which means a unique ARIMA model and a unique set of MIC invariants are built for a specific kind of application. Through experiment evaluation in a controlled environment running a state of the art big data benchmark, we find our approach can pinpoint the real culprits of performance problems in an average 83% precision and 87% recall which is better than a correlation based and single model based performance diagnosis.;2013;Pengfei Chen;10.1109/BigData.2013.6691701;Conferences;;978-1-4799-1293-3
The implications from benchmarking three big data systems;Along with today's data explosion and application diversification, a variety of hardware platforms for data centers are emerging and are attracting interests from both industry and academia. The existing hardware platforms represent a wide range of implementation approaches, and different hardware have different strengths. In this paper, we conduct comprehensive evaluations on three representative data center systems based on BigDataBench, which is a benchmark suite for benchmarking and ranking systems running big data applications. Then we explore the relative performance of the three implementation approaches with different big data applications, and provide strong guidance for the data center system construction. Through our experiments, we has inferred that a data center system based on specific hardware has different performance in the context of different applications and data volumes. When we construct a system, we can take into account not only the performance or energy consumption of the pure hardwares, but also the application-level characteristics. Data scale, application type and complexity should be considered comprehensively when researchers or architects plan to choose fundamental components for their data center system.;2013;Jing Quan;10.1109/BigData.2013.6691706;Conferences;;978-1-4799-1293-3
A characterization of big data benchmarks;Recently, big data has been evolved into a buzzword from academia to industry all over the world. Benchmarks are important tools for evaluating an IT system. However, benchmarking big data systems is much more challenging than ever before. First, big data systems are still in their infant stage and consequently they are not well understood. Second, big data systems are more complicated compared to previous systems such as a single node computing platform. While some researchers started to design benchmarks for big data systems, they do not consider the redundancy between their benchmarks. Moreover, they use artificial input data sets rather than real world data for their benchmarks. It is therefore unclear whether these benchmarks can be used to precisely evaluate the performance of big data systems. In this paper, we first analyze the redundancy among benchmarks from ICTBench, HiBench and typical workloads from real world applications: spatio-temporal data analysis for Shenzhen transportation system. Subsequently, we present an initial idea of a big data benchmark suite for spatio-temporal data. There are three findings in this work: (1) redundancy exists in these pioneering benchmark suites and some of them can be removed safely. (2) The workload behavior of trajectory data analysis applications is dramatically affected by their input data sets. (3) The benchmarks created for academic research cannot represent the cases of real world applications.;2013;Wen Xiong;10.1109/BigData.2013.6691707;Conferences;;978-1-4799-1293-3
A big data analytics framework for scientific data management;The Ophidia project is a research effort addressing big data analytics requirements, issues, and challenges for eScience. We present here the Ophidia analytics framework, which is responsible for atomically processing, transforming and manipulating array-based data. This framework provides a common way to run on large clusters analytics tasks applied to big datasets. The paper highlights the design principles, algorithm, and most relevant implementation aspects of the Ophidia analytics framework. Some experimental results, related to a couple of data analytics operators in a real cluster environment, are also presented.;2013;Sandro Fiore;10.1109/BigData.2013.6691720;Conferences;;978-1-4799-1293-3
Scalable sentiment classification for Big Data analysis using Naïve Bayes Classifier;A typical method to obtain valuable information is to extract the sentiment or opinion from a message. Machine learning technologies are widely used in sentiment classification because of their ability to “learn” from the training dataset to predict or support decision making with relatively high accuracy. However, when the dataset is large, some algorithms might not scale up well. In this paper, we aim to evaluate the scalability of Naïve Bayes classifier (NBC) in large datasets. Instead of using a standard library (e.g., Mahout), we implemented NBC to achieve fine-grain control of the analysis procedure. A Big Data analyzing system is also design for this study. The result is encouraging in that the accuracy of NBC is improved and approaches 82% when the dataset size increases. We have demonstrated that NBC is able to scale up to analyze the sentiment of millions movie reviews with increasing throughput.;2013;Bingwei Liu;10.1109/BigData.2013.6691740;Conferences;;978-1-4799-1293-3
Frequent Itemset Mining for Big Data;Frequent Itemset Mining (FIM) is one of the most well known techniques to extract knowledge from data. The combinatorial explosion of FIM methods become even more problematic when they are applied to Big Data. Fortunately, recent improvements in the field of parallel programming already provide good tools to tackle this problem. However, these tools come with their own technical challenges, e.g. balanced data distribution and inter-communication costs. In this paper, we investigate the applicability of FIM techniques on the MapReduce platform. We introduce two new methods for mining large datasets: Dist-Eclat focuses on speed while BigFIM is optimized to run on really large datasets. In our experiments we show the scalability of our methods.;2013;Sandy Moens;10.1109/BigData.2013.6691742;Conferences;;978-1-4799-1293-3
A look at challenges and opportunities of Big Data analytics in healthcare;Big Data analytics can revolutionize the healthcare industry. It can improve operational efficiencies, help predict and plan responses to disease epidemics, improve the quality of monitoring of clinical trials, and optimize healthcare spending at all levels from patients to hospital systems to governments. This paper provides an overview of Big Data, applicability of it in healthcare, some of the work in progress and a future outlook on how Big Data analytics can improve overall quality in healthcare systems.;2013;Raghunath Nambiar;10.1109/BigData.2013.6691753;Conferences;;978-1-4799-1293-3
BIG DATA infrastructures for pharmaceutical research;Big Data is an emerging paradigm covering production, collection, processing, analysis, access and presentation of huge data-sets: Big Data infrastructures represent an opportunity to approach this paradigm on an organizational level. We describe challenges and opportunities of big data infrastructures for the pharmaceutical industry. Pharmaceutical research and product development are huge investments and require intense exploration and analysis of data. Future trends show that pharmaceutical companies need to develop new methods of data and information processing to quicker and more precisely respond to changing markets and the need of patients and providers. The individual case and patients will become more influential in healthcare delivery and in consequence for the rationale behind these decisions. Our approach of a platform for semantic exploitation of BIG DATA supports a knowledge based infrastructure for deep analysis of clinical information from structured sources and clinical narratives. This infrastructure is able to pave the way towards the necessary big data-management possibilities. Example applications for cancer research will be given.;2013;Christian Seebode;10.1109/BigData.2013.6691759;Conferences;;978-1-4799-1293-3
Big data solutions for predicting risk-of-readmission for congestive heart failure patients;Developing holistic predictive modeling solutions for risk prediction is extremely challenging in healthcare informatics. Risk prediction involves integration of clinical factors with socio-demographic factors, health conditions, disease parameters, hospital care quality parameters, and a variety of variables specific to each health care provider making the task increasingly complex. Unsurprisingly, many of such factors need to be extracted independently from different sources, and integrated back to improve the quality of predictive modeling. Such sources are typically voluminous, diverse, and vary significantly over the time. Therefore, distributed and parallel computing tools collectively termed big data have to be developed. In this work, we study big data driven solutions to predict the 30-day risk of readmission for congestive heart failure (CHF) incidents. First, we extract useful factors from National Inpatient Dataset (NIS) and augment it with our patient dataset from Multicare Health System (MHS). Then, we develop scalable data mining models to predict risk of readmission using the integrated dataset. We demonstrate the effectiveness and efficiency of the open-source predictive modeling framework we used, describe the results from various modeling algorithms we tested, and compare the performance against baseline non-distributed, non-parallel, non-integrated small data results previously published to demonstrate comparable accuracy over millions of records.;2013;Kiyana Zolfaghar;10.1109/BigData.2013.6691760;Conferences;;978-1-4799-1293-3
Big spatial data mining;In this paper, spatial data mining is discussed in the context of big data. Firstly, we elaborate the fact that spatial data plays a primary role in big data, attracting academic community, business industry and governments. Secondly, the adverse of spatial data mining is discussed, such as much garbage, heavy pollution and its difficulties in utilization. Finally, we dissect the value in spatial big data, expound the techniques to discover knowledge from spatial big data, and investigate the transformation from knowledge into data intelligences.;2013;Wang Shuliang;10.1109/BigData.2013.6691764;Conferences;;978-1-4799-1293-3
IntegrityMR: Integrity assurance framework for big data analytics and management applications;Big data analytics and knowledge management is becoming a hot topic with the emerging techniques of cloud computing and big data computing model such as MapReduce. However, large-scale adoption of MapReduce applications on public clouds is hindered by the lack of trust on the participating virtual machines deployed on the public cloud. In this paper, we extend the existing hybrid cloud MapReduce architecture to multiple public clouds. Based on such architecture, we propose IntegrityMR, an integrity assurance framework for big data analytics and management applications. We explore the result integrity check techniques at two alternative software layers: the MapReduce task layer and the applications layer. We design and implement the system at both layers based on Apache Hadoop MapReduce and Pig Latin, and perform a series of experiments with popular big data analytics and management applications such as Apache Mahout and Pig on commercial public clouds (Amazon EC2 and Microsoft Azure) and local cluster environment. The experimental result of the task layer approach shows high integrity (98% with a credit threshold of 5) with non-negligible performance overhead (18% to 82% extra running time compared to original MapReduce). The experimental result of the application layer approach shows better performance compared with the task layer approach (less than 35% of extra running time compared with the original MapReduce).;2013;Yongzhi Wang;10.1109/BigData.2013.6691780;Conferences;;978-1-4799-1293-3
Exploring big data in small forms: A multi-layered knowledge extraction of social networks;Big data poses great challenges for social network analysts in both the data volume and the latent dimensions hidden in the unstructured data. In this paper, we propose a comprehensive knowledge extraction approach for social networks to guide latent dimensions analysis. An improved hypergraph model of social behaviors was then proposed for conveniently conducting multi-faceted analytics in relationships inherent to social media. A real life case study based on Twitter's data was also presented to illustrate the multi-dimensional relations between users based on the categories they co-join and the tweets they co-spread with three orthogonal dimensions of affect analyzed simultaneously, i.e. valence, activation, and intention.;2013;Yun Wei Zhao;10.1109/BigData.2013.6691784;Conferences;;978-1-4799-1293-3
Tile based visual analytics for Twitter big data exploratory analysis;New tools for raw data exploration and characterization of “big data” sets are required to suggest initial hypotheses for testing. The widespread use and adoption of web-based geo maps have provided a familiar set of interactions for exploring extremely large geo data spaces and can be applied to similarly large abstract data spaces. Building on these techniques, a tile based visual analytics system (TBVA) was developed that demonstrates interactive visualization for a one billion point Twitter dataset. TBVA enables John Tukey-inspired exploratory data analysis to be performed on massive data sets of effectively unlimited size.;2013;Daniel Cheng;10.1109/BigData.2013.6691787;Conferences;;978-1-4799-1293-3
Risk adjustment of patient expenditures: A big data analytics approach;For healthcare applications, voluminous patient data contain rich and meaningful insights that can be revealed using advanced machine learning algorithms. However, the volume and velocity of such high dimensional data requires new big data analytics framework where traditional machine learning tools cannot be applied directly. In this paper, we introduce our proof-of-concept big data analytics framework for developing risk adjustment model of patient expenditures, which uses the “divide and conquer” strategy to exploit the big-yet-rich data to improve the model accuracy. We leverage the distributed computing platform, e.g., MapReduce, to implement advanced machine learning algorithms on our data set. In specific, random forest regression algorithm, which is suitable for high dimensional healthcare data, is applied to improve the accuracy of our predictive model. Our proof-of-concept framework demonstrates the effectiveness of predictive analytics using random forest algorithm as well as the efficiency of the distributed computing platform.;2013;Lin Li;10.1109/BigData.2013.6691790;Conferences;;978-1-4799-1293-3
Big data for business managers — Bridging the gap between potential and value;Given the surge of interest in research, publication and application on Big Data over the last few years, the potential of Big Data seems to be well-established now across businesses. However, in most of the business implementations Big Data still seem to be struggling to deliver the promised value (ROI). Such results despite using the market leading Big Data solutions and talented deployment team are forcing the business managers to think what needs to be done differently. This paper lays down the framework for business managers to understand Big Data processes. Besides providing a business overview of Big Data core components, the paper presents several questions that the managers must ask to assess the effectiveness of their Big Data processes. This paper is based on the analysis of several Big Data projects that never delivered and comparison against successful ones. The hypothesis is developed based on public information and is proposed as the first step for business managers keen on effectively leveraging Big Data.;2013;Anmol Rajpurohit;10.1109/BigData.2013.6691794;Conferences;;978-1-4799-1293-3
Access control for big data using data content;Conventional database access control models have difficulties in dealing with big data, especially for the features of volume, variety and velocity. To address the problem, we introduce the Content-based Access Control (CBAC) model for content-centric information sharing. As a complement to conventional models, CBAC makes access control decisions based on the content similarity between user credentials and data content dynamically. We present an enforcement mechanism for CBAC exploiting Oracle's Virtual Private Database (VPD). Experimental results show that CBAC makes reasonable access control decision with a small overhead.;2013;Wenrong Zeng;10.1109/BigData.2013.6691798;Conferences;;978-1-4799-1293-3
Knowledge cubes — A proposal for scalable and semantically-guided management of Big Data;A Knowledge Cube, or cube for short, is an intelligent and adaptive database instance capable of storing, analyzing, and searching data. Each cube is established based on semantic aspects, e.g., (1) Topical, (2) Contextual, (3) Spatial, or (4) Temporal. A cube specializes in handling data that is only relevant to the cube's semantics. Knowledge cubes are inspired by two prime architectures: (1) Dataspaces that provides an abstraction for data management where heterogeneous data sources can co-exist and it requires no prespecified unifying schema, and (2) Linked Data that provides best practices for publishing and interlinking structured data on the web. A knowledge cube uses Linked Data as its main building block for its data layer and encompasses some of the data integration abstractions defined by Dataspaces. In this paper, knowledge cubes are proposed as a semantically-guided data management architecture, where data management is influenced by the data semantics rather than by a predefined scheme. Knowledge cubes support the five pillars of Big Data also known as the five V's, namely Volume, Velocity, Veracity, Variety, and Value. Interesting opportunities can be leveraged when learning the semantics of the data. This paper highlights these opportunities and proposes a strawman design for knowledge cubes along with the research challenges that arise when realizing them.;2013;Amgad Madkour;10.1109/BigData.2013.6691800;Conferences;;978-1-4799-1293-3
Towards Network Reduction on Big Data;"The increasing ease of data collection experience and the increasing availability of large data storage space lead to the existence of very large datasets that are commonly referred as ""Big Data"". Such data not only take over large amount of database storage, but also increase the difficulties for data analysis due to data diversity, which, also makes the datasets seemingly isolated with each other. In this paper, we present a solution to the problem that is to build up connections among the diverse datasets, based upon their similarities. Particularly, a concept of similarity graph along with a similarity graph generation algorithm were introduced. We then proposed a similarity graph reduction algorithm that reduces vertices of the graph for the purpose of graph simplification.";2013;Xing Fang;10.1109/SocialCom.2013.103;Conferences;;978-0-7695-5137-1
Big Data and Policy Design for Data Sovereignty: A Case Study on Copyright and CCL in South Korea;The purpose of this paper is as follows. First, I am trying to conceptualize big data as a social problem. Second, I would like to explain the difference between big data and conventional mega information. Third, I would like to recommend the role of the government for utilization of big data as a policy tools. Fourth, while referring to copyright and CCL(Creative Commons License) cases, I would like to explain the regulation for big data on data sovereignty. Finally, I would like to suggest a direction of policy design for big data. As for the result of this study, policy design for big data should be distinguished from policy design for mega information to solve data sovereignty issues. From a law system perspective, big data is generated autonomously. It has been accessed openly and shared without any intention. In market perspective, big data is created without any intention. Big data can be changed automatically in case of openness with reference feature such as Linked of Data. Some policy issues such as responsibility and authenticity should be raised. Big data is generated in a distributed and diverse way without any concrete form in technology perspective. So, we need a different approach.;2013;Hyejung Moon;10.1109/SocialCom.2013.165;Conferences;;978-0-7695-5137-1
Next Big Thing in Big Data: The Security of the ICT Supply Chain;In contemporary society, with supply chains becoming more and more complex, the data in supply chains increases by means of volume, variety and velocity. Big data rise in response to the proper time and conditions to offer advantages for the nodes in supply chains to solve prewiously difficult problems. For any big data project to succeed, it must first depend on high-quality data but not merely on quantity. Further, it will become increasingly important in many big data projects to add external data to the mix and companies will eventually turn from only looking inward to also looking outward into the market, which means the use of big data must be broadened considerably. Hence the data supply chains, both internally and externally, become of prime importance. ICT (Information and Telecommunication) supply chain management is especially important as supply chain link the world closely and ICT supply chain is the base of all supply chains in today's world. Though many initiatives to supply chain security have been developed and taken into practice, most of them are emphasized in physical supply chain which is addressed in transporting cargos. The research on ICT supply chain security is still in preliminary stage. The use of big data can promote the normal operation of ICT supply chain as it greatly improve the data collecting and processing capacity and in turn, ICT supply chain is a necessary carrier of big data as it produces all the software, hardware and infrastructures for big data's collection, storage and application. The close relationship between big data and ICT supply chain make it an effective way to do research on big data security through analysis on ICT supply chain security. This paper first analyzes the security problems that the ICT supply chain is facing in information management, system integrity and cyberspace, and then introduces several famous international models both on physical supply chain and ICT supply chain. After that the authors describe a case of communication equipment with big data in ICT supply chain and propose a series of recommendations conducive to developing secure big data supply chain from five dimensions.;2013;Tianbo Lu;10.1109/SocialCom.2013.172;Conferences;;978-0-7695-5137-1
Analysis of Big Data Technologies and Method - Query Large Web Public RDF Datasets on Amazon Cloud Using Hadoop and Open Source Parsers;Extremely large datasets found in Big Data projects are difficult to work with using conventional databases, statistical software, and visualization tools. Massively parallel software, such as Hadoop, running on tens, hundreds, or even thousands of servers is more suitable for Big Data challenges. Additionally, in order to achieve the highest performance when querying large datasets, it is necessary to work these datasets at rest without preprocessing or moving them into a repository. Therefore, this work will analyze tools and techniques to overcome working with large datasets at rest. Parsing and querying will be done on the raw dataset - the untouched Web Data Commons RDF files. Web Data Commons comprises five billion pages of web pages crawled from the Internet. This work will analyze available tools and appropriate methods to assist the Big Data developer in working with these extremely large, semantic RDF datasets. Hadoop, open source parsers, and Amazon Cloud services will be used to data mine these files. In order to assist in further discovery, recommendations for future research will be included.;2013;Ted Garcia;10.1109/ICSC.2013.49;Conferences;;978-0-7695-5119-7
An improved BP algorithm over out-of-order streams for big data;Due to the difficulty of getting the association rules over out-of-order streams for big data, a new improved BP algorithm based on dynamic adjustment is proposed. We firstly use a dynamic adaptive structural adjustment mechanism to change the network training structure according to the environmental requirements, which can automatically remove invalid training node, and optimize the iterative training process. Secondly, we adjust three factors (i.e. learning index, momentum factor and scaling factor) during the learning process to speed up the learning response, and to enhance the stability of the network. Simulation results show that compared with traditional BP algorithm, this algorithm can get more convergence times,the convergence rate can be improved effectively, and finally obtain the association rules over out-of-order data streams.;2013;Kun Wang;10.1109/ChinaCom.2013.6694712;Conferences;;978-1-4799-1406-7
Advanced analytics for harnessing the power of smart meter big data;Smart meters or advanced metering infrastructure (AMI) are being deployed in many countries around the world. Smart meters are the basic building block of the smart grid and governments have invested vast amounts in smart meter deployment targeting wide economic, social and environmental benefits. The key functionality of the smart meter is the capture and transfer of data relating to the consumption (electricity, gas) and events such as power quality and meter status. Such capability has also resulted in the generation of an unprecedented data volume, speed of collection and complexity, which has resulted in the so called big data challenge. To realize the hidden value and power in such data, it is important to use the appropriate tools and technology which are currently being called advanced analytics. In this paper we define a smart metering landscape and discuss different technologies available for harnessing the smart meter captured data. Main limitations and challenges with existing techniques with big data are also highlighted and several future directions in smart metering are presented.;2013;Damminda Alahakoon;10.1109/IWIES.2013.6698559;Conferences;;978-1-4799-1135-6
The Oklahoma PetaStore: Big data on a small budget;In the era of Big Data, research productivity can be highly sensitive to the availability of large scale, long term storage. Unfortunately, most mass storage systems are prohibitively expensive at scales appropriate for individual institutions rather than national centers. Furthermore, many researchers won't adopt any centralized technology that they perceive as more expensive than what their research teams could do on their own. This poster examines a combination of business model and technology that addresses these concerns in a comprehensive way, distributing the costs among a funding agency, the institution and the research teams, thereby reducing the challenges faced by each.;2013;Patrick Calhoun;10.1109/CLUSTER.2013.6702629;Conferences;2168-9253;978-1-4799-0898-1
HcBench: Methodology, development, and characterization of a customer usage representative big data/Hadoop benchmark;"Big Data analytics using Map-Reduce over Hadoop has become a leading edge paradigm for distributed programming over large server clusters. The Hadoop platform is used extensively for interactive and batch analytics in ecommerce, telecom, media, retail, social networking, and being actively evaluated for use in other areas. However, to date no industry standard or customer representative benchmarks exist to measure and evaluate the true performance of a Hadoop cluster. Current Hadoop micro-benchmarks such as HiBench-2, GridMix-3, Terasort, etc. are narrow functional slices of applications that customers run to evaluate their Hadoop clusters. However, these benchmarks fail to capture the real usages and performance in a datacenter environment. Given that typical datacenter deployments of Hadoop process a wide variety of analytic interactive and query jobs in addition to batch transform jobs under strict Service Level Agreement (SLA) requirements, performance benchmarks used to evaluate clusters must capture the effects of concurrently running such diverse job types in production environments. In this paper, we present the methodology and the development of a customer datacenter usage representative Hadoop benchmark ""HcBench"" which includes a mix of large number of customer representative interactive, query, machine learning, and transform jobs, a variety of data sizes, and includes compute, storage 110, and network intensive jobs, with inter-job arrival times as in a typical datacenter environment. We present the details of this benchmark and discuss application level, server and cluster level performance characterization collected on an Intel Sandy Bridge Xeon Processor Hadoop cluster.";2013;Vikram A. Saletore;10.1109/IISWC.2013.6704672;Conferences;;978-1-4799-0553-9
Characterizing the efficiency of data deduplication for big data storage management;The demand for data storage and processing is increasing at a rapid speed in the big data era. Such a tremendous amount of data pushes the limit on storage capacity and on the storage network. A significant portion of the dataset in big data workloads is redundant. As a result, deduplication technology, which removes replicas, becomes an attractive solution to save disk space and traffic in a big data environment. However, the overhead of extra CPU computation (hash indexing) and IO latency introduced by deduplication should be considered. Therefore, the net effect of using deduplication for big data workloads needs to be examined. To this end, we characterize the redundancy of typical big data workloads to justify the need for deduplication. We analyze and characterize the performance and energy impact brought by deduplication under various big data environments. In our experiments, we identify three sources of redundancy in big data workloads: 1) deploying more nodes, 2) expanding the dataset, and 3) using replication mechanisms. We elaborate on the advantages and disadvantages of different deduplication layers, locations, and granularities. In addition, we uncover the relation between energy overhead and the degree of redundancy. Furthermore, we investigate the deduplication efficiency in an SSD environment for big data workloads.;2013;Ruijin Zhou;10.1109/IISWC.2013.6704674;Conferences;;978-1-4799-0553-9
Big data and humanitarian supply networks: Can Big Data give voice to the voiceless?;"Billions of US dollars are spent each year in emergency aid to save lives and alleviate the suffering of those affected by disaster. This aid flows through a humanitarian system that consists of governments, different United Nations agencies, the Red Cross movement and myriad non-governmental organizations (NGOs). As scarcer resources, financial crisis and economic inter-dependencies continue to constrain humanitarian relief there is an increasing focus from donors and governments to assess the impact of humanitarian supply networks. Using commercial (`for-profit') supply networks as a benchmark; this paper exposes the counter-intuitive competition dynamic of humanitarian supply networks, which results in an open-loop system unable to calibrate supply with actual need and impact. In that light, the phenomenon of Big Data in the humanitarian field is discussed and an agenda for the `datafication' of the supply network set out as a means of closing the loop between supply, need and impact.";2013;Asmat Monaghan;10.1109/GHTC.2013.6713725;Conferences;;978-1-4799-2401-1
A predictive tool for nonattendance at a specialty clinic: An application of multivariate probabilistic big data analytics;The field of data analytics has recently garnered significant attention as a means of improving service, outcome and cost in healthcare. Health informatics tools to date are largely rules-based, static in knowledge-gathering capability, and are not well incorporated within standard clinical processes. We introduce a multivariate analysis tool, built at the user-client interface, directly from data extracted from thousands of EMRs, for automated decision making. The predictive algorithms created to date have been implemented in a variety of clinical scenarios, including ER triage of chest pain, selection of optimal diagnostic testing, and management of chronic illnesses. This technology has now been applied to prediction of patient compliance with scheduled appointments in a medical specialty clinic. Approximately 16% of scheduled VA patients do not show for their scheduled appointments for Gastroenterology clinic. This results in misallocation of provider resources and inefficiencies in health care delivery. The improvement in quality of care, patient outcomes and cost is potentially immense.;2013;Victor Levy;10.1109/CEWIT.2013.6713760;Conferences;;978-1-4799-2546-9
KASR: A Keyword-Aware Service Recommendation Method on MapReduce for Big Data Applications;Service recommender systems have been shown as valuable tools for providing appropriate recommendations to users. In the last decade, the amount of customers, services and online information has grown rapidly, yielding the big data analysis problem for service recommender systems. Consequently, traditional service recommender systems often suffer from scalability and inefficiency problems when processing or analysing such large-scale data. Moreover, most of existing service recommender systems present the same ratings and rankings of services to different users without considering diverse users' preferences, and therefore fails to meet users' personalized requirements. In this paper, we propose a Keyword-Aware Service Recommendation method, named KASR, to address the above challenges. It aims at presenting a personalized service recommendation list and recommending the most appropriate services to the users effectively. Specifically, keywords are used to indicate users' preferences, and a user-based Collaborative Filtering algorithm is adopted to generate appropriate recommendations. To improve its scalability and efficiency in big data environment, KASR is implemented on Hadoop, a widely-adopted distributed computing platform using the MapReduce parallel processing paradigm. Finally, extensive experiments are conducted on real-world data sets, and results demonstrate that KASR significantly improves the accuracy and scalability of service recommender systems over existing approaches.;2014;Shunmei Meng;10.1109/TPDS.2013.2297117;Journals;2161-9883;
